cno_code,isco_08_code
1,11
1001,11
2001,26
3001,11
4001,11
5001,13
5002,14
6001,13
7001,12
10111,24
10112,33
10113,41
10123,41
10132,33
10133,41
10201,24
10202,33
10203,41
10311,24
10312,33
10313,41
10314,42
10322,33
10323,41
10331,24
10332,34
10333,41
10339,41
11111,26
11112,34
11131,26
11201,26
11202,34
11311,26
11312,34
11313,41
11331,26
11332,34
11333,41
20111,24
20112,33
20113,43
20131,24
20132,33
20201,24
20202,33
20203,43
20311,24
20312,33
20313,43
20314,41
20331,24
20332,42
20333,42
20339,42
30111,24
30112,33
30113,52
30119,52
30123,52
30131,24
30132,33
30133,52
30139,52
30201,24
30202,33
30203,52
30311,24
30312,33
30313,52
30314,52
30319,52
30323,52
30331,24
30332,33
30333,52
30339,52
31111,24
31112,33
31113,52
31123,52
31131,24
31132,33
31133,52
31202,33
31311,24
31312,33
31313,52
31314,52
31319,52
31323,52
31331,24
31332,33
31333,52
32111,24
32112,33
32113,52
32123,52
32131,24
32201,24
32202,33
32203,52
32311,24
32312,33
32313,52
32314,93
32323,83
32331,24
32332,33
32333,52
33113,95
33114,95
33123,95
33203,52
33311,95
33312,95
33313,95
33314,95
33323,95
34113,93
34121,31
34122,31
34123,83
34131,31
34201,31
34202,31
34203,43
34311,31
34312,31
34313,51
34314,93
34321,31
34322,31
34323,83
34324,93
34331,31
34332,31
34333,83
35111,21
35112,35
35113,44
35123,83
35131,25
35132,35
35133,44
35201,21
35202,35
35203,44
35311,21
35312,35
35313,44
35314,44
35322,35
35323,83
35332,35
35333,44
36111,21
36112,31
36113,43
36114,93
36202,31
36203,43
36311,21
36312,31
36313,43
36314,93
36323,83
36332,31
36333,43
40111,22
40112,32
40113,53
40131,22
40132,32
40201,22
40202,32
40203,53
40311,22
40312,32
40313,53
40314,53
40321,22
40322,32
40323,32
40331,22
40332,32
40333,32
41111,23
41112,23
41131,23
41132,23
41201,23
41202,23
41203,53
41311,23
41312,23
41313,53
41323,53
41331,23
41332,23
41333,53
42111,2*
42112,3*
42113,42
42131,2*
42201,2*
42202,3*
42311,2*
42312,3*
42313,42
42331,2*
42332,3*
42333,44
43111,2*
43112,3*
43131,2*
43132,3*
43201,2*
43311,2*
43312,3*
43313,42
43331,2*
43332,3*
44111,21
44112,54
44113,75
44122,75
44131,21
44132,31
44201,21
44202,54
44311,21
44312,54
44313,75
44314,96
44322,75
44323,31
44331,21
44332,31
45111,26
45112,26
45131,25
45132,35
45201,26
45202,26
45311,26
45312,26
45313,35
45322,35
45323,35
45331,25
45332,35
45333,35
46111,26
46112,34
46113,34
46201,26
46202,34
46203,34
46311,26
46312,34
46313,34
46331,26
46332,34
46333,34
47112,54
47113,54
47131,25
47202,33
47203,54
47312,33
47313,54
47314,96
47322,35
47323,54
47331,25
47332,35
47333,54
48311,33
48312,33
48313,54
48322,54
48323,54
48331,31
48332,33
48333,54
49311,01
49312,01
49313,02
49314,03
49322,01
49323,02
49331,01
49332,01
49333,02
50111,26
50112,34
50113,34
50122,35
50131,21
50132,35
50201,26
50202,34
50311,26
50312,34
50313,34
50322,35
50331,21
50332,35
51112,34
51113,96
51202,34
51203,34
51312,34
51313,51
51314,96
52112,34
52113,34
52122,34
52123,34
52133,34
52202,34
52203,42
52312,34
52313,34
52314,96
52322,34
52323,34
52333,34
53111,34
53112,34
53113,51
53123,51
53202,34
53203,51
53312,34
53313,51
53314,51
53323,51
53333,51
54111,24
54112,51
54113,51
54131,24
54132,51
54133,51
54202,51
54311,24
54312,51
54313,51
54314,96
54331,24
54332,51
54333,51
55203,51
55313,51
55314,91
56113,91
56114,91
56123,81
56202,51
56203,51
56313,91
56314,91
56323,81
56324,91
57112,51
57113,51
57202,51
57203,51
57312,51
57313,51
57314,51
58112,34
58113,51
58123,51
58132,34
58202,34
58203,51
58312,34
58313,51
58314,96
58323,51
58332,35
58333,51
60111,21
60112,31
60113,61
60114,92
60122,83
60123,83
60131,21
60132,31
60201,21
60202,31
60203,61
60311,21
60312,31
60313,61
60314,92
60322,31
60323,83
60324,92
60331,21
61111,22
61112,31
61113,61
61123,61
61131,21
61133,61
61201,22
61202,61
61203,61
61311,22
61312,31
61313,61
61314,92
61323,61
62111,21
62112,31
62113,62
62201,21
62202,31
62203,62
62311,21
62312,31
62313,62
62314,92
62322,31
62323,83
62332,31
63111,21
63112,31
63113,61
63123,61
63202,31
63203,61
63311,21
63312,31
63313,61
63314,92
63323,83
63333,83
64113,62
64202,31
64203,62
64311,21
64312,31
64313,62
64314,92
64323,83
65112,31
65113,62
65313,62
65314,62
70111,21
70112,31
70122,31
70131,21
