"informal work in eng","Profession in Amharic","professional/ formal","sector","sub sector","nel_model_label","n_matches","best_score","best_confidence","m1_label","m1_uri","m1_score","m1_confidence","m2_label","m2_uri","m2_score","m2_confidence","m3_label","m3_uri","m3_score","m3_confidence","m4_label","m4_uri","m4_score","m4_confidence","m5_label","m5_uri","m5_score","m5_confidence","subsector_isco4","filter_applied","n_dropped","dropped_labels"
"Digital Media Marketer","ዲጂታል ሚዲያ ገበያተኛ","P","Service","Advertising","minilm","2","0.8877","high_confidence","advertising media buyer","http://data.europa.eu/esco/occupation/4795d4e3-c623-47ff-abab-7de97fcb764e","0.8877","high_confidence","online marketer","http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7","0.8483","low_similarity","","","","","","","","","","","","","2431.0","yes","3","digital media designer; digital marketing manager; media scientist"
"Market Strategist","ገበያ ስትራቴጂስት","P","Service","Business Promotion Service","minilm","5","0.8343","low_similarity","market research analyst","http://data.europa.eu/esco/occupation/66fb9704-0d56-4673-8e69-7823816b73e1","0.8343","low_similarity","market vendor","http://data.europa.eu/esco/occupation/c822ca35-6c36-4eab-97fa-90f2775091c3","0.8261","low_similarity","online marketer","http://data.europa.eu/esco/occupation/356227b9-2263-4dbd-81e9-7dfc6d3f3af7","0.7930","low_similarity","market research interviewer","http://data.europa.eu/esco/occupation/7843a4c6-a9f6-4095-94b9-45b384d4bd57","0.7908","low_similarity","marketing consultant","http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc","0.7875","low_similarity","","no","0",""
"Junior Risk Officer","ጁኒየር አደጋ መኮንን","P","Service","Other services","minilm","5","0.8384","low_similarity","health and safety officer","http://data.europa.eu/esco/occupation/789517fb-95ee-43d1-9530-c2860be1a439","0.8384","low_similarity","aviation safety officer","http://data.europa.eu/esco/occupation/c8ee6499-7613-4c02-9edf-2a0edcf47705","0.8134","low_similarity","policy officer","http://data.europa.eu/esco/occupation/caf7b8fb-b2d6-46b7-bffa-bea7f8e4aed8","0.8052","low_similarity","juvenile correctional officer","http://data.europa.eu/esco/occupation/6e36bf67-9df2-4d68-8f78-fca1d34acc0b","0.8048","low_similarity","special forces officer","http://data.europa.eu/esco/occupation/1de91afd-9da2-47ab-a7e7-19bf931709a4","0.8042","low_similarity","","no","0",""
"Senior Customer Service Officer","ከፍተኛ የደንበኞች አገልግሎት ኦፊሰር","P","Service","Other services","minilm","5","0.8679","high_confidence","customer service representative","http://data.europa.eu/esco/occupation/13d1b2b4-99dd-44da-9734-c9f74bae18f7","0.8679","high_confidence","civil service administrative officer","http://data.europa.eu/esco/occupation/ffade2f4-2528-4dfd-b36a-6e4092be08ed","0.8241","low_similarity","chief marketing officer","http://data.europa.eu/esco/occupation/0ddbf393-38f1-4c22-b14c-fe775008f321","0.8197","low_similarity","customer experience manager","http://data.europa.eu/esco/occupation/9c9752b7-3e3b-4a08-8553-b63a013f8072","0.8170","low_similarity","police officer","http://data.europa.eu/esco/occupation/5793c124-c037-47b2-85b6-dd4a705968dc","0.8119","low_similarity","","no","0",""
"Waiteress/waiter","አስተናጋጅ","P","Tourism and art","Resturant,Coffee shop","minilm","5","0.9566","exact","waiter/waitress","http://data.europa.eu/esco/occupation/d5db9d5c-2ebf-4a54-a79a-1b7e7ff70471","0.9566","exact","head waiter/head waitress","http://data.europa.eu/esco/occupation/53ed8787-3423-4843-8c63-7be1877d29e2","0.9002","high_confidence","restaurant host/restaurant hostess","http://data.europa.eu/esco/occupation/a1b86a8b-ad91-4192-b386-bbf89bb11699","0.8276","low_similarity","restaurant manager","http://data.europa.eu/esco/occupation/d5eb6150-bbff-4a9c-9d0c-21eab4dbe2b6","0.8253","low_similarity","quick service restaurant crew member","http://data.europa.eu/esco/occupation/96a0d8d3-d4a6-473d-80d6-b5dbadde940a","0.7910","low_similarity","","no","0",""
"Commerce Expert","የንግድ ባለሙያ","P","Business","Other unspecified food products retail","minilm","1","0.8053","low_similarity","specialised seller","http://data.europa.eu/esco/occupation/547b304b-9a72-4717-9b24-b7046df5f64e","0.8053","low_similarity","","","","","","","","","","","","","","","","","5223.0","yes","4","wholesale merchant; wholesale merchant in perfume and cosmetics; wholesale merchant in chemical products; wholesale merchant in beverages"
"Secretary Cashier","ጸሐፊ ገንዘብ ተቀባይ","P","Service","Finance and Administration Services","minilm","5","0.9178","high_confidence","cashier","http://data.europa.eu/esco/occupation/2b871272-bd61-4206-bd1a-0b96d7023098","0.9178","high_confidence","secretary","http://data.europa.eu/esco/occupation/5ac377d2-e1d0-4911-a299-b4ef2782a0ba","0.8379","low_similarity","casino cashier","http://data.europa.eu/esco/occupation/961cbd1f-2a9b-4756-b227-67a1c23c94b6","0.8350","low_similarity","foreign exchange cashier","http://data.europa.eu/esco/occupation/b7fc1cd1-0d6d-4e9e-8a9f-c3270201be81","0.8332","low_similarity","lottery cashier","http://data.europa.eu/esco/occupation/3f32394b-f1b1-48ef-96ee-74405fb7c6b6","0.8312","low_similarity","","no","0",""
"Senior District Auditor","ሲኒየር ዲስትሪክት ኦዲተር","P","Service","Accounting audit and adminstrative works","minilm","5","0.8216","low_similarity","financial auditor","http://data.europa.eu/esco/occupation/1ad59946-d13e-441e-9b36-56e1df055e21","0.8216","low_similarity","auditing clerk","http://data.europa.eu/esco/occupation/1f665529-96e9-46c1-99f4-9ffbf9ffa036","0.7911","low_similarity","tax inspector","http://data.europa.eu/esco/occupation/c766198e-5b9c-4c85-9fef-be27c783ab19","0.7882","low_similarity","night auditor","http://data.europa.eu/esco/occupation/6e6e44ba-d9f0-403b-93d4-a8d4bd67787a","0.7777","low_similarity","ICT auditor manager","http://data.europa.eu/esco/occupation/76a1a76c-b014-4600-8901-56cb936de7ed","0.7751","low_similarity","","no","0",""
"Sales Representative","የሽያጭ ተወካይ","P","Business","Other unspecified food products retail","minilm","1","0.8777","high_confidence","sales assistant","http://data.europa.eu/esco/occupation/9ba74e8a-c40c-4228-9998-eb3c7a5c11df","0.8777","high_confidence","","","","","","","","","","","","","","","","","5223.0","yes","4","commercial sales representative; technical sales representative; medical sales representative; customer service representative"
"Small vehicle DRIVER","የአነስተኛ መኪና ሾፌር","I","Logistics, transportation and communication","Other scheduled land transport services","minilm","5","0.8449","low_similarity","cargo vehicle driver","http://data.europa.eu/esco/occupation/45037d43-a8f5-4f46-b332-b2935bc305f4","0.8449","low_similarity","automotive test driver","http://data.europa.eu/esco/occupation/295dbed9-0330-42af-8650-f9296c6eb195","0.8141","low_similarity","moving truck driver","http://data.europa.eu/esco/occupation/a504e79e-f146-4773-a1cf-2b15b9d614db","0.8110","low_similarity","driving instructor","http://data.europa.eu/esco/occupation/bca2528a-5a87-4576-a3b5-1edbbce40a9f","0.8098","low_similarity","car driving instructor","http://data.europa.eu/esco/occupation/834aab9b-2246-4c3e-ab4a-cf3de1267e1a","0.8014","low_similarity","","no","0",""
