"sector","sub_sector","n_titles","mapping_decision","isco_code","isco_label","fallback_isco_3digit","confidence","rationale","raw_response"
"","","20","no_map","","","","low","Empty/None sub-sector; short-circuited without LLM call.",""
"Business","Beverage retail business","1","no_map","","","","medium","The sub-sector describes a retail industry domain that encompasses multiple distinct occupational categories including management, sales assistants, and clerical support staff which span different ISCO Major Groups.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""medium"",
  ""rationale"": ""The sub-sector describes a retail industry domain that encompasses multiple distinct occupational categories including management, sales assistants, and clerical support staff which span different ISCO Major Groups."",
  ""fallback_isco_3digit"": null
}"
"Business","Business","1","no_map","","","","high","The label 'Business' is too broad and generic as it encompasses a vast range of occupational categories including management, professional services, finance, and administration across multiple ISCO major groups.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The label 'Business' is too broad and generic as it encompasses a vast range of occupational categories including management, professional services, finance, and administration across multiple ISCO major groups."",
  ""fallback_isco_3digit"": null
}"
"Business","Components of motor vehicles and Accessories Wholesale (Vehicle Wholesale)","3","no_map","","","","high","The sub-sector refers to a wholesale industry domain which employs a broad range of occupations across different ISCO categories, including managers, sales representatives, and logistics staff, rather than a single unit group.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector refers to a wholesale industry domain which employs a broad range of occupations across different ISCO categories, including managers, sales representatives, and logistics staff, rather than a single unit group."",
  ""fallback_isco_3digit"": null
}"
"Business","Food Products Retail","5","map","5223","Shop sales assistants","522","high","The sub-sector identifies the retail trade domain, which is most accurately represented by the shop salespersons minor group (522), covering assistants, supervisors, and small shopkeepers.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""5223"",
  ""isco_label"": ""Shop sales assistants"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector identifies the retail trade domain, which is most accurately represented by the shop salespersons minor group (522), covering assistants, supervisors, and small shopkeepers."",
  ""fallback_isco_3digit"": ""522""
}"
"Business","Food wholesale","2","no_map","","","","medium","The sub-sector 'Food wholesale' refers to an industry segment that encompasses a wide variety of unrelated ISCO roles, including management (1420), sales (3322, 5223), and logistics (4321, 9333).","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""medium"",
  ""rationale"": ""The sub-sector 'Food wholesale' refers to an industry segment that encompasses a wide variety of unrelated ISCO roles, including management (1420), sales (3322, 5223), and logistics (4321, 9333)."",
  ""fallback_isco_3digit"": null
}"
"Business","Home and Office Furniture Decorations & Utilities Retail","4","no_map","","","","high","The sub-sector describes a retail industry domain which encompasses multiple distinct occupational categories including management, sales assistants, and specialized roles like interior decorators.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector describes a retail industry domain which encompasses multiple distinct occupational categories including management, sales assistants, and specialized roles like interior decorators."",
  ""fallback_isco_3digit"": null
}"
"Business","Hypermarket","1","no_map","","","","low","Hypermarket is a retail industry setting that encompasses several distinct occupational groups such as managers, sales assistants, cashiers, and shelf fillers, making it too broad for a single ISCO unit group mapping.","{
  ""mapping_decision"": ""no_map"",
  ""isco_code"": null,
  ""isco_label"": null,
  ""confidence"": ""low"",
  ""rationale"": ""Hypermarket is a retail industry setting that encompasses several distinct occupational groups such as managers, sales assistants, cashiers, and shelf fillers, making it too broad for a single ISCO unit group mapping."",
  ""fallback_isco_3digit"": null
}"
"Business","Mini Market","2","map","5221","Shop keepers","522","high","A Mini Market is a small retail establishment, which aligns directly with the shop keepers and sales assistants domain represented by ISCO unit group 5221 and its parent group 522.","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""5221"",
  ""isco_label"": ""Shop keepers"",
  ""confidence"": ""high"",
  ""rationale"": ""A Mini Market is a small retail establishment, which aligns directly with the shop keepers and sales assistants domain represented by ISCO unit group 5221 and its parent group 522."",
  ""fallback_isco_3digit"": ""522""
}"
"Business","Other unspecified food products retail","7","map","5223","Shop sales assistants","522","high","The sub-sector identifies a specific retail trade domain, which is most accurately captured by the shop salespersons minor group (522).","{
  ""mapping_decision"": ""map"",
  ""isco_code"": ""5223"",
  ""isco_label"": ""Shop sales assistants"",
  ""confidence"": ""high"",
  ""rationale"": ""The sub-sector identifies a specific retail trade domain, which is most accurately captured by the shop salespersons minor group (522)."",
  ""fallback_isco_3digit"": ""522""
}"
