ID,ORIGINURI,UUIDHISTORY,OCCUPATIONGROUPCODE,CODE,DEFINITION,SCOPENOTE,REGULATEDPROFESSIONNOTE,OCCUPATIONTYPE,ISLOCALIZED,PREFERREDLABEL,ALTLABELS,DESCRIPTION
,,7b6a4da0-a901-4f7b-8066-3553f295914b,1112,1112_1,,,,localoccupation,True,auditor general,"Chief Government Auditor
Comptroller and Auditor General
Head of Supreme Audit Institution
National Auditor General","Auditor generals oversee the independent auditing of government accounts and public sector entities. They ensure accountability, efficiency, and legality in the use of public funds, reporting findings to the legislature."
,,2a5c3c12-c595-43ff-a711-e6e05baea248,1112,1112_2,,,,localoccupation,True,head of government,"Chancellor
Deputy President
First Minister
Premier
President
Prime Minister
Taoiseach
Vice President","Heads of government lead the executive branch, formulate and implement national policies, direct domestic and foreign affairs, and represent the country on the international stage."
,,8174da62-4d2f-4aad-9ce7-25fa8f8b2c80,1112,1112_3,,,,localoccupation,True,senior judiciary member,"Attorney General
Chief Justice
Chief Public Defender
Chief Registrar Judiciary
Director of Public Prosecution
High Court Judge
Judge Advocate General
Lord Chief Justice
President of the Supreme Court
Prosecutor General
Solicitor General
Supreme Court Justice","Senior judiciary members lead national judicial systems or high-level legal offices, interpret laws, administer justice, and provide legal counsel to governments, ensuring legal and constitutional integrity."
,,25f4030a-0014-404a-b17d-cae68c6414d6,1112,1112_4,,,,localoccupation,True,senior local government official,"Chief Executive, Local Authority
Councillor
County Assembly clerk
County Executive Committee Member
County Governor
Deputy Mayor
Deputy Speaker of the County Assembly
District Commissioner
Mayor
Member of County assembly
Municipal Manager
Speaker County Assembly
Town Clerk","Senior local government officials direct and coordinate the formulation and implementation of public policies, laws, and services at the sub-national or regional administrative level, ensuring effective governance and resource management."
,,8320ae51-0f49-47ee-a87c-c8ec95e7bade,1113,1113_1,,,,localoccupation,True,village chief,"Community Chief
Head of Village
Local Chieftain
Village Administrators
Village Elder
Village Headman","Village chiefs lead and govern local communities, mediating disputes, managing communal resources, and representing their village in external matters. They uphold traditional laws and customs."
,,37427fc7-56c1-4b1f-ba20-5c1fdc1705ee,1114,1114_1,,,,localoccupation,True,political party leader,"Convenor
First Secretary
Leader of Majority
Leader of Minority
Leader of the Opposition
Party Chairman
Party Chairperson
Party President","Political party leaders guide party strategy, articulate policy positions, and campaign to win elections and influence government policy or form a ruling administration. They represent their party publicly and lead parliamentary groups."
,,aa29e1bb-c69f-4b8c-897f-003d84502fe3,2352,2352_1,,,,localoccupation,True,special needs teacher,"Exceptional Student Education Teacher
Inclusion Teacher
Learning Disability Teacher
Resource Teacher
SEN Teacher
Special Education Teacher
Special Needs Educator
Teacher, migrant education","Special needs teachers instruct students with diverse physical, intellectual, emotional, or learning disabilities. They adapt curricula and employ specialized pedagogical approaches to meet individual educational goals."
,,374f2fcd-802e-44d2-97b7-0521a8a22156,2529,2529_1,,,,localoccupation,True,digital currency miner,"Blockchain Miner
Crypto Miner
Cryptocurrency Miner
Digital Miner
Mining Farm Technician
Mining Rig Operator","Digital currency miners configure and operate specialized computing systems to validate blockchain transactions and generate new digital currency units, often receiving rewards."
,,13f9a33a-34fc-45d0-9b57-2c92c8231175,2641,2641_1,,,,localoccupation,True,indexer,"Back-of-book indexer
Book indexer
Database indexer
Periodical indexer
Professional indexer
Subject indexer","Indexers analyse the content of books, journals, and other documents to identify key terms and concepts. They create comprehensive indexes, assigning relevant headings and page locators to facilitate efficient information retrieval for users."
,,5c5d1161-6ef7-4d1f-8d63-fb1f707445fe,3119,3119_1,,,,localoccupation,True,impression taker,"Casting Technician
Dental Impression Technician
Earmold Technician
Impression Specialist
Moulding Technician
Orthotic Impression Technician
Prosthetic Impression Technician","Impression takers prepare materials and subjects, then accurately capture physical impressions using specialised techniques and materials, often for crafting custom devices or models."
