OCCUPATIONTYPE,OCCUPATIONID,RELATIONTYPE,SKILLID,SIGNALLINGVALUELABEL,SIGNALLINGVALUE
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349bd4c,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349cf95,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d4c0,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349ca46,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349a953,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349bd80,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d3df,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349bcfc,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349bf2c,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d979,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349b353,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349c3c2,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d157,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d357,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349c8c7,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349da30,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349c2b5,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d840,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349b10e,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349cbf1,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d3bb,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349c847,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349b2b5,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d8f0,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d20c,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349bbf3,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349c13a,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349cbbf,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349c70a,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d680,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349c9a4,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349c62e,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349ab77,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349bb33,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349c354,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349b600,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349b9be,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d1c6,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349ba72,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349da4d,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349ad4e,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349abd8,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349b159,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d25e,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349c46d,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349ac76,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d185,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349b399,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d268,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349c39f,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349b253,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d8d7,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349be0a,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349c424,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671bdebd2bf665349d58e,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349c604,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349c658,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b9ebd2bf665349c127,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671b5ebd2bf665349b200,,
localoccupation,a6de27fcdc453b8ca2a0105c,essential,687671baebd2bf665349c568,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349ba95,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349da69,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349da9c,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671baebd2bf665349c81a,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b4ebd2bf665349a63b,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349bd80,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349bf2c,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d5ea,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b324,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671beebd2bf665349dbd9,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d31b,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d157,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349afea,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b602,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671baebd2bf665349c9dc,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671beebd2bf665349db2f,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349cdd0,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c268,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671baebd2bf665349c6d5,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d3e5,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c071,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b2b5,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d8f0,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b5d8,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b4ebd2bf665349a7c6,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349a984,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349ae58,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349a856,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349b9eb,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349afaf,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349abde,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349ae89,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b4ebd2bf665349a648,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c1e0,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b428,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d34e,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b13f,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d395,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349cf87,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b4c0,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c00d,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c0f6,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c46d,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c320,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671beebd2bf665349db3c,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c162,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d185,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b0bc,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b294,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c39f,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349d8d7,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671baebd2bf665349cd01,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671bdebd2bf665349cffa,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671baebd2bf665349ca73,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349be0a,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349c424,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349b9dd,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b9ebd2bf665349bc32,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671b5ebd2bf665349b801,,
localoccupation,d2985a88c2d72a5af11777c6,essential,687671baebd2bf665349c604,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349d2b7,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349aea1,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349cf95,,
localoccupation,986a045206e00d40418cdcc8,essential,687671baebd2bf665349c790,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349d4c0,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349a953,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349d7cd,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b9ebd2bf665349bdec,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b9ebd2bf665349bd80,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349d157,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349d491,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b9ebd2bf665349c35f,,
localoccupation,986a045206e00d40418cdcc8,essential,687671baebd2bf665349c8c7,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349b10e,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349b8e6,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349abb6,,
localoccupation,986a045206e00d40418cdcc8,essential,687671baebd2bf665349cbf1,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349ce46,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349d8f0,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349b76f,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349a984,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349d680,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b9ebd2bf665349b9eb,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349afaf,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349abde,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349b061,,
localoccupation,986a045206e00d40418cdcc8,essential,687671baebd2bf665349c62e,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b9ebd2bf665349b9be,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b5ebd2bf665349b428,,
localoccupation,986a045206e00d40418cdcc8,essential,687671b9ebd2bf665349bc35,,
localoccupation,986a045206e00d40418cdcc8,essential,687671baebd2bf665349ca0d,,
localoccupation,986a045206e00d40418cdcc8,essential,687671bdebd2bf665349d095,,
