OCCUPATIONTYPE,OCCUPATIONID,RELATIONTYPE,SKILLID,SIGNALLINGVALUELABEL,SIGNALLINGVALUE
escooccupation,687671c1ebd2bf665349e10f,essential,687671b4ebd2bf665349a631,,
escooccupation,687671c1ebd2bf665349e10d,essential,687671b4ebd2bf665349a631,,
escooccupation,687671c1ebd2bf665349e110,essential,687671b4ebd2bf665349a631,,
escooccupation,687671c1ebd2bf665349e10e,optional,687671b4ebd2bf665349a631,,
escooccupation,687671c0ebd2bf665349dd9e,essential,687671b4ebd2bf665349a632,,
escooccupation,687671c1ebd2bf665349e0c8,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0d6,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0be,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349df61,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0a9,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c2,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0bc,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0cf,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0bd,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0d2,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c3,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c4,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0d8,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0d3,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0ce,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349df54,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c1,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c7,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0d7,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c5,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c6,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c0,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0cc,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0d0,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0c9,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0bf,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0d5,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0cd,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0cb,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e0d4,essential,687671b4ebd2bf665349a633,,
escooccupation,687671c1ebd2bf665349e195,optional,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349de3d,optional,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349de64,essential,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349e178,essential,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349e7a3,essential,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349e176,essential,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349e190,optional,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349deaa,optional,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349e68c,essential,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349e1c3,optional,687671b4ebd2bf665349a634,,
escooccupation,687671c1ebd2bf665349dfad,optional,687671b4ebd2bf665349a635,,
escooccupation,687671c1ebd2bf665349e0ca,essential,687671b4ebd2bf665349a635,,
escooccupation,687671c0ebd2bf665349de20,essential,687671b4ebd2bf665349a636,,
escooccupation,687671c0ebd2bf665349de13,essential,687671b4ebd2bf665349a636,,
escooccupation,687671c1ebd2bf665349df16,optional,687671b4ebd2bf665349a636,,
escooccupation,687671c1ebd2bf665349df4e,optional,687671b4ebd2bf665349a636,,
escooccupation,687671c1ebd2bf665349e088,optional,687671b4ebd2bf665349a636,,
escooccupation,687671c1ebd2bf665349de73,optional,687671b4ebd2bf665349a636,,
escooccupation,687671c1ebd2bf665349dea4,optional,687671b4ebd2bf665349a636,,
escooccupation,687671c1ebd2bf665349e546,essential,687671b4ebd2bf665349a637,,
escooccupation,687671c1ebd2bf665349decc,optional,687671b4ebd2bf665349a638,,
escooccupation,687671c1ebd2bf665349e04f,optional,687671b4ebd2bf665349a638,,
