"ID","ORIGINURI","UUIDHISTORY","DEFINITION","SCOPENOTE","REUSELEVEL","SKILLTYPE","PREFERREDLABEL","ALTLABELS","DESCRIPTION","ISLOCALIZED"
"687671b4ebd2bf665349a631","http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab","5e754c1c-6e5c-46b3-b072-d38cb987b240
76d72d7b-5b16-47dd-8346-2d8dbb08c4aa
2e5bb547-fce6-4366-8b2c-097d64153d76
d13b1ee5-87d7-4ee6-a7f3-21993f8fd563
dc2349de-68d3-4503-b132-faaf49e2d1c4","","","sector-specific","skill/competence","manage musical staff","manage staff of music
coordinate duties of musical staff
manage music staff
direct musical staff
manage musical staff","Assign and manage staff tasks in areas such as scoring, arranging, copying music and vocal coaching.","false"
"687671b4ebd2bf665349a632","http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2","259a8553-e37a-4b7e-b9a2-54f7a9d6c9d6
1a640f0a-a097-44a2-ad21-ca0c877ca5a2
ad2eefea-1c3d-4ff6-ab33-55062e3f1472
f6c49436-635d-4dca-aeec-058431417f00
54dac21e-5339-48d9-a9af-1f517c568a93","","","occupation-specific","skill/competence","supervise correctional procedures","oversee prison procedures
manage correctional procedures
monitor correctional procedures
manage prison procedures
monitor prison procedures
supervise correctional procedures
oversee correctional procedures","Supervise the operations of a correctional facility or other correctional procedures, ensuring that they are compliant with legal regulations, and ensure that the staff complies with regulations, and aim to improve the facility's efficiency and safety.","false"
"687671b4ebd2bf665349a633","http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828","b7dc5466-b36c-4b95-a79c-3aa6f30c0971
3b346847-f735-4dd6-9132-f9baaf448652
573cdbbd-9601-4800-9b6e-2803f0ad3587
39c2a9e8-691e-4cfb-b151-1f58d65a91e8
111579ba-6e51-4ca0-8fa1-a0c91af5eff7","","","sector-specific","skill/competence","apply anti-oppressive practices","apply non-oppressive practices
apply an anti-oppressive practice
make use of anti-oppressive practices
act in a non-oppressive way
identify oppression in societies and groups
apply anti-oppressive practices
apply anti-oppresive practice
use anti-oppressive practices","Identify oppression in societies, economies, cultures, and groups, acting as a professional in an non-oppressive way, enabling service users to take action to improve their lives and enabling citizens to change their environment in accordance with their own interests.","false"
"687671b4ebd2bf665349a634","http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35","39813bcd-7dbb-47cb-9859-6a0a693ddd0d
7b25a759-bf82-4208-ad01-9011c7a886bf
9f8f8342-d65d-48d1-9b04-30724d63a1d3
595313e3-4a9e-4197-b749-5e4e0ca3e893
edd287fc-78b6-4a4b-9eae-62ce7e80b59e","","","sector-specific","skill/competence","control compliance of railway vehicles regulations","monitoring of compliance with railway vehicles regulations
monitoring of compliance with rolling stock regulations
checking compliance with rolling stock regulations
control compliance of regulations of rolling stock
inspection of compliance with rolling stock regulations
ensuring compliance with railway vehicles regulations
compliance controls of railway vehicles regulations
conduct controls of compliance of railway vehicles regulations
control compliance of railway vehicles regulations
control compliance of railway vehicle regulations","Inspect rolling stock, components and systems to ensure compliance with standards and specifications.","false"
"687671b4ebd2bf665349a635","http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc","988307b6-fccb-4bdf-a0bc-f1e4e8888bce
ca41bd96-d5f0-40e0-a81f-ff41461d264b
c9b69813-b3c3-4a27-8218-939dd5fa1cac
2855e5a5-1474-4272-a31f-5c88e62b24ba
08606fdf-b3c4-4dad-93e6-576e00dc1a4b","","","cross-sector","skill/competence","identify available services","establish available services
identify available services
determine rehabilitation services
analyse rehabilitation services
establish rehabilitation services
determine available services
analyse available services
classify available services
classify rehabilitation services","Identify the different services available for an offender during probation in order to help in the rehabilitation and re-integration process, as well as advising the offenders as to how they can identify services available to them.","false"
"687671b4ebd2bf665349a636","http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724","6ca6e776-337f-49f2-980a-55e73dad5d78
be169f64-58d1-462a-b43c-cf95d0ba9dfa
7fe6c1b6-2ced-45e7-91e5-ab97dd666d38
c61a7af1-4671-4560-82c4-85870b4ef58d
0f8f4cbd-57d5-463a-97b5-b7b03a985830","","","cross-sector","skill/competence","perform toxicological studies","perform toxicological studies
apply toxicological testing methods
perform toxicological tests
perform toxicological study
carry out toxicological studies","Perform tests to detect poisons or drug misuse and help to monitor therapy by using chemical reagents, enzymes, radioisotopes and antibodies to detect abnormal chemical concentrations in the body.","false"
"687671b4ebd2bf665349a637","http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316","dfc2c642-972e-4994-b608-b064e0101acc
ae61e0d2-0405-4556-9007-7ba69b2fd58c
c8067179-3b25-476a-a85b-d821f1a6d1fa
ffcc904b-1618-45a6-9fcb-9fc898481e78
393f5ec5-9164-4cb8-a0cf-a89f95fad224","","","occupation-specific","skill/competence","ensure coquille uniformity","making sure coquille is uniform
ensure coquille uniformity
ensure uniformity of coquille
ensuring coquille uniformity
checking that coquille is uniform
ensuring uniformity of coquille
ensuring coquille is uniform
ensure coquille is uniform
ensuring of coquille uniformity
make sure coquille is uniform
check that coquille is uniform","Oversee uniformity of coquilles; use casting equipment and tools such as welding machines.","false"
"687671b4ebd2bf665349a638","http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02","bc7e138f-90d7-49b9-ba7f-b4dd072051b0
fd286f8b-e76c-4f68-921b-69ee8c3050a7
0a958707-a605-4312-a0bd-5c6c68b2e15b
73734418-994b-475f-aa41-5656a90582b7
7236820d-3b34-4339-9093-239d0b8820dc","","","sector-specific","knowledge","Haskell","Haskell","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Haskell.","false"
"687671b4ebd2bf665349a639","http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f","852af801-e92e-4f30-841f-bac86221e21b
df0c1744-369f-4661-a0af-b9259044b9c4
7ce2f134-48a0-452b-bede-1eded6604d30
00aca277-69a8-430d-a74f-dfe61774a801
b980f518-1b34-4f27-b5a5-2a88f1039747","","","transversal","skill/competence","show initiative","take the initiative
give impetus
be a driving force
demonstrate sense of initiative
initiate action
show sense of initiative
show active initiative
show initiative","Be proactive and take the first step in an action without waiting for what others say or do.","false"
"687671b4ebd2bf665349a63a","http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123","f16f9217-a2d7-41f8-b8c6-ac9f6b13c0eb
b9834a80-f94a-4bbc-9441-6522dc0a9e5b
40b03f1f-d923-4b72-b5e2-eb36dc0bfda4
e7f8f24f-e823-44d4-ad1a-1c55dcfe8235
b59e18a6-e5a7-4970-9048-75552c86f9d1","","","sector-specific","skill/competence","train staff to reduce food waste","teach students food waste reduction practices
inform staff on food waste reduction practices
educate workers on food recycling methods
educate staff on food waste reduction
train staff to reduce food waste","Establish new trainings and staff development provisions to support staff knowledge in food waste prevention and food recycling practices. Ensure that staff understands methods of and tools for food recycling, e.g., separating waste.","false"
