"OCCUPATIONTYPE","OCCUPATIONID","RELATIONTYPE","SKILLID","SIGNALLINGVALUELABEL","SIGNALLINGVALUE","CREATEDAT","UPDATEDAT"
"escooccupation","68f1da5d90ad734984f80243","essential","68f1da5290ad734984f7cb3e","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f80c23","essential","68f1da5290ad734984f7cb3e","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f80985","optional","68f1da5290ad734984f7cb3e","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f80314","essential","68f1da5290ad734984f7cb3e","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5d90ad734984f80216","optional","68f1da5290ad734984f7cb3e","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f809e2","essential","68f1da5290ad734984f7cb3f","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f804e5","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f804e3","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f80778","essential","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80766","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80776","essential","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5d90ad734984f80277","essential","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f8048e","essential","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f80779","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f804dd","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5d90ad734984f801b5","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f80777","essential","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f8048f","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f80489","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.091Z","2025-10-17T05:56:16.091Z"
"escooccupation","68f1da5e90ad734984f8077a","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f8048d","optional","68f1da5290ad734984f7cb40","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f8090e","essential","68f1da5290ad734984f7cb41","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80399","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f803d3","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f802e3","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80345","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f802e7","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80436","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f803f9","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f803cf","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f8044e","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f80474","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f802e4","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f80476","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f80434","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f803f7","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f80333","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f80335","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f802fc","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f80327","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.094Z","2025-10-17T05:56:16.094Z"
"escooccupation","68f1da5e90ad734984f805cc","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80430","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80329","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f805ce","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80470","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f802de","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f803a9","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80555","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80439","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80460","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f805cf","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.092Z","2025-10-17T05:56:16.092Z"
"escooccupation","68f1da5e90ad734984f80339","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f802f4","essential","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
"escooccupation","68f1da5e90ad734984f80472","optional","68f1da5290ad734984f7cb42","","","2025-10-17T05:56:16.093Z","2025-10-17T05:56:16.093Z"
