"PARENTOBJECTTYPE","PARENTID","CHILDID","CHILDOBJECTTYPE","CREATEDAT","UPDATEDAT"
"skillgroup","68f1da5090ad734984f7c920","68f1da5090ad734984f7c8bd","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c91f","68f1da5090ad734984f7c8be","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8be","68f1da5090ad734984f7c8bf","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8be","68f1da5090ad734984f7c8c0","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8be","68f1da5090ad734984f7c8c1","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8be","68f1da5090ad734984f7c8c2","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8be","68f1da5090ad734984f7c8c3","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8be","68f1da5090ad734984f7c8c4","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c91f","68f1da5090ad734984f7c8c5","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8c5","68f1da5090ad734984f7c8c6","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8c5","68f1da5090ad734984f7c8c7","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8c5","68f1da5090ad734984f7c8c8","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8c5","68f1da5090ad734984f7c8c9","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c91f","68f1da5090ad734984f7c8ca","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8ca","68f1da5090ad734984f7c8cb","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c91f","68f1da5090ad734984f7c8cc","skillgroup","2025-10-17T05:55:49.416Z","2025-10-17T05:55:49.416Z"
"skillgroup","68f1da5090ad734984f7c8cc","68f1da5090ad734984f7c8cd","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7ca8b","68f1da5090ad734984f7c8ce","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7c8ce","68f1da5090ad734984f7c8cf","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7c8cf","68f1da5090ad734984f7c8d0","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7c8ce","68f1da5090ad734984f7c8d1","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7c8d1","68f1da5090ad734984f7c8d2","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7c8d1","68f1da5090ad734984f7c8d3","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7c8d1","68f1da5090ad734984f7c8d4","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7c8d1","68f1da5090ad734984f7c8d5","skillgroup","2025-10-17T05:55:49.417Z","2025-10-17T05:55:49.417Z"
"skillgroup","68f1da5090ad734984f7ca8b","68f1da5090ad734984f7c8d6","skillgroup","2025-10-17T05:55:49.414Z","2025-10-17T05:55:49.414Z"
"skillgroup","68f1da5090ad734984f7c8d6","68f1da5090ad734984f7c8d7","skillgroup","2025-10-17T05:55:49.415Z","2025-10-17T05:55:49.415Z"
"skillgroup","68f1da5090ad734984f7c8d7","68f1da5090ad734984f7c8d8","skillgroup","2025-10-17T05:55:49.415Z","2025-10-17T05:55:49.415Z"
"skillgroup","68f1da5090ad734984f7c8d6","68f1da5090ad734984f7c8d9","skillgroup","2025-10-17T05:55:49.415Z","2025-10-17T05:55:49.415Z"
"skillgroup","68f1da5090ad734984f7c8d9","68f1da5090ad734984f7c8da","skillgroup","2025-10-17T05:55:49.415Z","2025-10-17T05:55:49.415Z"
"skillgroup","68f1da5090ad734984f7c8d6","68f1da5090ad734984f7c8db","skillgroup","2025-10-17T05:55:49.415Z","2025-10-17T05:55:49.415Z"
"skillgroup","68f1da5090ad734984f7c8db","68f1da5090ad734984f7c8dc","skillgroup","2025-10-17T05:55:49.415Z","2025-10-17T05:55:49.415Z"
